5,14943,1451,52,220,1684,1019,26713,6403,1451,52,220,5568,0,0,0,0,0,0,0,0
3,18694,97,1,94,18695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18959,1627,239,5330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4949,874,86,28312,2,1730,1,378,45,6425,28313,2,3909,64,5237,1,2508,0,0,0
1,698,2589,9254,778,3824,3,60,393,4153,3451,3,4227,1255,2,29051,3,0,0,0,0
2,20988,4873,1653,20989,69,3136,20990,1,27,1,9568,39,12882,0,0,0,0,0,0,0
1,14856,2732,14857,8,911,14858,1,2376,141,32,5867,14856,2732,1,85,236,164,0,0,0
4,6696,5204,2078,1,93,1,185,12,119,174,2,154,44,6345,1,2078,31,23386,0,0
3,10211,94,5495,10,5495,10211,1,149,128,14848,1,23,34,461,1,43,0,0,0,0
4,1835,3348,138,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14459,222,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1704,215,1798,19254,2,19255,1280,3823,1,12103,19256,549,2,29,19257,1954,862,0,0,0
1,2805,26221,11828,168,14297,4,141,10436,892,37,10436,892,323,2326,738,0,0,0,0,0
2,2011,3262,8786,5,10554,37,1,309,25,17224,17225,1,66,17224,17225,885,3334,0,0,0
1,15,3507,2,3645,4990,15,2649,2,0,0,0,0,0,0,0,0,0,0,0,0
2,19967,328,80,19968,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1899,8162,57,7981,2,194,172,0,0,0,0,0,0,0,0,0,0,0,0,0
5,119,12353,518,349,518,12354,3044,129,19740,9234,3,2203,3,19741,107,501,27,257,48,3
3,567,19,1672,231,242,80,22,87,2,0,0,0,0,0,0,0,0,0,0,0
4,6144,782,2761,3,58,9969,22900,2761,5,2812,5,66,2761,22901,5686,1,0,0,0,0
1,958,38410,1,35,38411,464,699,479,42,9914,1,958,49,3,0,0,0,0,0,0
5,30231,135,2,2,2,2,2,2,2,2,23,275,669,47,1,68,5493,0,0,0
1,750,36796,26,897,7663,3327,2905,114,432,1,83,3050,14868,1388,3327,3050,1292,2504,180,2827
2,477,80,8785,4352,2,1011,12,187,2,32559,2,477,181,452,1076,1076,187,0,0,0
4,7,31,4851,3186,4851,12676,2,43,5,667,65,320,6,0,0,0,0,0,0,0
5,7,1091,361,3144,22,3144,11,361,18,27,1091,145,6051,204,2,3,0,0,0,0
5,1442,8,27175,189,1442,315,1,80,15072,104,2,27,27176,2,0,0,0,0,0,0
5,28356,28357,1203,867,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1661,146,20,1025,120,674,34,1,10,7,47,1661,146,20,1025,120,300,0,0,0
4,2371,7018,35,44,38998,1574,1232,2371,7018,35,1,22,15006,2,0,0,0,0,0,0
2,117,195,2,18468,72,2,2,2,75,103,2,2,2,0,0,0,0,0,0,0
4,132,2374,7532,3510,1034,1,455,1049,8,1428,7532,1164,99,0,0,0,0,0,0,0
1,7,4,4403,1321,179,3265,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3111,307,101,140,163,1237,1625,9496,20730,307,101,4870,163,1237,1625,104,1,23,14,0
1,35,2042,101,3,17535,470,101,186,1250,0,0,0,0,0,0,0,0,0,0,0
1,485,1,8300,1192,15985,1,30414,6,7,227,485,2,0,0,0,0,0,0,0,0
1,13034,22,393,13035,14,13034,129,3506,13036,1,5455,21384,9037,1,90,129,0,0,0,0
1,5559,1157,30,20898,9545,2988,1686,3073,21,76,21,126,2,0,0,0,0,0,0,0
1,72,125,1030,101,2,101,703,131,12416,1,515,1347,1,1030,0,0,0,0,0,0
4,33,29182,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,139,326,35440,2,33,61,3702,1,3294,1,244,6748,0,0,0,0,0,0,0,0
2,1119,1081,7828,1335,9475,27,1752,1038,1,1081,898,5,5,5,5,5,5026,0,0,0
1,14016,1854,13601,23988,7,743,5497,23989,6746,1,157,23990,1,2536,10181,2103,4181,0,0,0
2,75,103,3436,195,32377,3014,330,2,0,0,0,0,0,0,0,0,0,0,0,0
2,162,1209,10626,31652,3,27,10626,6556,3134,1,53,162,3518,1,14,0,0,0,0,0
2,112,1013,2149,1,10544,10545,2,112,1013,2149,1,10544,10545,1,7640,157,0,0,0,0
5,23,114,2117,542,693,4260,2,636,542,50,693,1,2117,0,0,0,0,0,0,0
1,498,2158,223,212,4,81,1224,25353,200,1415,10416,844,19,198,4,3,0,0,0,0
3,2244,1201,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4806,39072,4603,198,8128,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,825,153,1520,8,607,88,2474,1513,0,0,0,0,0,0,0,0,0,0,0,0
4,1040,10574,4830,2942,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2623,225,455,2623,383,2623,225,12801,2623,383,188,0,0,0,0,0,0,0,0,0
5,5910,78,8597,32538,135,50,30,813,5910,4,515,45,471,717,0,0,0,0,0,0
2,847,2299,1077,2920,38,3,847,1077,2920,103,3,0,0,0,0,0,0,0,0,0
5,3,598,3557,3,3,660,5807,341,3,3,18,5807,553,6553,32193,32194,341,144,3343,3
2,150,858,195,175,129,108,31486,121,858,450,13016,1,817,31487,31488,0,0,0,0,0
3,58,95,9939,22748,22749,1844,1,22750,7574,650,6152,1,7551,7946,126,1,1267,274,3,0
1,1014,484,2791,2,625,835,597,8297,1,6684,625,1877,11,0,0,0,0,0,0,0
2,15121,5,5,118,936,5,5,27340,10705,5,5,5,15121,5,5,1624,5,5,27341,0
3,189,9885,1882,1,1891,8423,11323,150,0,0,0,0,0,0,0,0,0,0,0,0
1,48,35043,35044,10624,59,48,35045,59,252,135,2,48,59,48,1583,59,135,2,0,0
2,9628,37740,1532,45,3423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,38142,1358,8,500,1035,38143,272,7625,2760,315,22,87,2,272,1886,0,0,0,0,0
5,109,34,5369,8,16,4125,179,116,4,319,5369,3416,4,34,0,0,0,0,0,0
5,110,47,117,740,202,129,14001,2365,106,109,52,3399,11995,783,9764,0,0,0,0,0
5,6755,134,5374,394,3,83,134,330,2117,9,9,9,9,9,9,0,0,0,0,0
4,707,132,22805,200,282,917,1,132,2227,1,169,0,0,0,0,0,0,0,0,0
2,3366,1392,18,78,184,4191,17481,9,9,9,9,9,9,9,9,9,43,5,0,0
4,11112,32128,32129,279,11,948,2,439,3318,1,32130,0,0,0,0,0,0,0,0,0
4,4856,40,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1092,20,401,432,120,7408,5842,2504,2504,1,3332,2,165,20,243,120,1006,1745,4,0
1,4647,930,37,703,11,4200,279,2,704,3081,529,138,1,4647,37,70,662,0,0,0
3,1509,3120,8,3563,5195,1509,33960,33961,597,33962,223,16139,0,0,0,0,0,0,0,0
5,29332,29333,772,3,151,29334,29335,13,39,29336,278,537,44,13,0,0,0,0,0,0
2,1718,51,165,20,146,120,829,509,2,1079,14812,51,24,20,347,120,29,26266,0,0
5,953,82,365,2429,56,251,2399,2,0,0,0,0,0,0,0,0,0,0,0,0
5,6752,170,68,4028,4843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,119,23,216,7367,19405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,588,851,751,239,220,17,7494,12577,446,1413,0,0,0,0,0,0,0,0,0,0
1,4710,38633,11398,1,38634,38635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,21641,13138,21642,21643,13139,7783,155,13138,1,416,288,67,21644,3375,0,0,0,0,0,0
2,24203,8128,24204,379,24205,14101,24206,14102,1124,6,14102,109,24207,31,0,0,0,0,0,0
1,216,730,106,2,23,747,6,43,0,0,0,0,0,0,0,0,0,0,0,0
3,10011,23172,23173,23174,8006,2085,11,0,0,0,0,0,0,0,0,0,0,0,0,0
5,82,56,5868,476,417,41,56,5868,1353,82,56,5868,57,4,537,80,378,28621,1825,0
1,659,38085,12,852,4092,5108,3110,6382,380,1498,1,814,66,659,38086,0,0,0,0,0
5,23,105,5580,107,27,906,1,7691,9578,78,9579,42,0,0,0,0,0,0,0,0
4,75,78,19,3155,22,87,3,43,13,0,0,0,0,0,0,0,0,0,0,0
5,2384,2428,30,2399,4286,357,72,369,1,3551,43,0,0,0,0,0,0,0,0,0
2,7,4844,18,20,576,17270,24,20,439,120,4,39,18,20,213,1558,24,20,439,120
3,246,638,3067,3,246,638,3067,2,0,0,0,0,0,0,0,0,0,0,0,0
4,750,78,95,199,8206,1369,774,40,2564,3,927,71,2073,4,0,0,0,0,0,0
2,3742,3390,182,45,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,920,48,9420,2696,260,15790,59,5,1551,688,15692,252,1551,688,30030,252,0,0,0,0
5,35,530,709,340,98,299,1020,54,12189,1,12109,15,0,0,0,0,0,0,0,0
1,8291,1182,4010,8307,2,2,8291,1182,4010,8307,1,0,0,0,0,0,0,0,0,0
3,34238,665,77,137,8031,9967,158,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4971,37,821,2955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4199,220,154,2,73,2727,19195,9084,11,71,2065,318,7321,0,0,0,0,0,0,0
3,235,364,4286,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
